Popis trasy,Označení linky,Webový odkaz na jízdní řád Veřejné dopravy Královéhradeckého kraje,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Délka v metrech,ID,Shape__Length
Turistický autobus s přepravou kol (baťoh): Jilemnice-Benecko-Vrchlabí,IDOL 949,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=949,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI189,30492.4474354,1,30492.4474353699
Hradec Králové-Dolní Přím-Nechanice-Nový Bydžov,101,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=101,Královéhradecký kraj,CZ052,ALI1,40959.9858823,2,40959.9858823026
Hradec Králové-Libčany-Boharyně-Nový Bydžov,102,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=102,Královéhradecký kraj,CZ052,ALI2,60067.522776,3,60067.5227760467
Hradec Králové-Hrádek-Nechanice-Myštěves-Králíky-Nový Bydžov,105,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=105,Královéhradecký kraj,CZ052,ALI5,66775.0757242,4,66775.0757242266
Hradec Králové-Všestary-Máslojedy-Hořiněves-Velký Vřešťov-Boháňka,108,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=108,Královéhradecký kraj,CZ052,ALI8,56814.5906697,5,56814.5906696754
Hradec Králové-Osice-Křičeň-Lázně Bohdaneč-Pardubice,109,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=109,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI9,21747.2793711,6,21747.2793711292
Jaroměř-Josefov-Libřice-Černilov-Hradec Králové,112,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=112,Královéhradecký kraj,CZ052,ALI12,60879.3398728,7,60879.3398727961
Nový Bydžov-Nepolisy-Chlumec n.Cidl,151,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=151,Královéhradecký kraj,CZ052,ALI15,19716.9926451,8,19716.9926451323
Nový Bydžov-Městec Králové,153,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=153,"Královéhradecký kraj, Středočeský kraj","CZ052, CZ020",ALI17,35583.72677,9,35583.7267699562
Hořice-Bašnice-Sukorady-Myštěves-Králíky-Nový Bydžov,156,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=156,Královéhradecký kraj,CZ052,ALI20,57721.6590715,10,57721.6590714792
Chlumec n.Cidl.-Stará Voda-Káranice,173,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=173,Královéhradecký kraj,CZ052,ALI21,10207.660322,11,10207.6603220329
Rychnov n.Kněž.-Solnice-Kvasiny-Skuhrov n.Bělou-Osečnice,204,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=204,Královéhradecký kraj,CZ052,ALI27,19281.1479255,12,19281.1479254679
Zdobnice-Rychnov n.Kněž.,205,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=205,Královéhradecký kraj,CZ052,ALI28,53929.5593571,13,53929.559357142
Rychnov n.Kněž.-Lipovka-Litohrady-Černíkovice-Lično-Libel-Častolovice-Kostelec n.Orl.,207,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=207,Královéhradecký kraj,CZ052,ALI30,33321.5993901,14,33321.5993900892
Týniště n.O.-Albrechtice n.O.-Žďár n.O.-Borohrádek,211,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=211,Královéhradecký kraj,CZ052,ALI34,17083.0449067,15,17083.0449067213
Kostelec n.O.-Častolovice-Olešnice-Hřibiny-Ledská-Častolovice-Kostelec n.O.,221,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=221,Královéhradecký kraj,CZ052,ALI38,16628.2511581,16,16628.2511581428
Kostelec n.Orl.-Borohrádek-Čermná n.Orl.,223,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=223,Královéhradecký kraj,CZ052,ALI40,28189.2717616,17,28189.2717616309
Rokytnice v Orl.h.-Bartošovice v Orl.h.-Orlické Záhoří-Šerlich-Deštné v Orl.h.,240,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=240,Královéhradecký kraj,CZ052,ALI43,47086.3809305,18,47086.3809304767
Rychnov n.K.-Solnice-Skuhrov n.Bělou-Dobré-Dobruška,260,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=260,Královéhradecký kraj,CZ052,ALI47,52845.8620684,19,52845.8620683993
Dobruška-Bačetín-Ohnišov-Dobřany-Deštné v Orl.h.,266,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=266,Královéhradecký kraj,CZ052,ALI53,25915.6744965,20,25915.6744965179
Náchod-Kramolna-Olešnice-Červený Kostelec,303,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=303,Královéhradecký kraj,CZ052,ALI63,18860.8250765,21,18860.8250765494
Česká Skalice-Provodov-Šonov-Nové Město n.Met.,307,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=307,Královéhradecký kraj,CZ052,ALI66,13738.7962562,22,13738.7962561654
N.Město n.Met.-Slavoňov-N.Hrádek-Č.Čermná-Dobrošov-Náchod,308,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=308,Královéhradecký kraj,CZ052,ALI67,30520.571917,23,30520.5719169768
